contract,function,isExternal,writesPool,balanceChange
Multicall_v4,multicall,False,False,False
FullMath,mulDiv,False,False,False
Math,mulDiv,False,False,False
BitMath,mostSignificantBit,False,False,False
BitMath,leastSignificantBit,False,False,False
TickMath,getSqrtPriceAtTick,False,False,False
CustomRevert,bubbleUpAndRevertWith,False,False,False
TickMath,maxUsableTick,False,False,False
TickMath,minUsableTick,False,False,False
Base64,encode,False,False,False
FixedPointMathLib,rpow,False,False,False
Descriptor,tickToDecimalString,False,False,False
DeltaResolver,_settle,False,False,True
INotifier,subscribe,True,False,False
INotifier,unsubscribe,True,False,False
Notifier,subscribe,False,False,False
Notifier,unsubscribe,False,False,False
IPoolInitializer_v4,initializePool,True,False,False
PoolInitializer_v4,initializePool,False,False,False
IPermit2Forwarder,permit,True,False,False
IPermit2Forwarder,permitBatch,True,False,False
Permit2Forwarder,permit,False,False,False
Permit2Forwarder,permitBatch,False,False,False
UnorderedNonce,revokeNonce,False,False,False
IUnorderedNonce,revokeNonce,True,False,False
IERC721Permit_v4,permit,True,False,False
IERC721Permit_v4,permitForAll,True,False,False
ERC721Permit_v4,permit,False,False,False
ERC721Permit_v4,permitForAll,False,False,False
BaseActionsRouter,_executeActions,False,False,False
PositionManager,_mintFromDeltas,False,False,False
PositionManager,_increaseFromDeltas,False,False,False
Hooks,afterInitialize,False,False,False
Hooks,beforeModifyLiquidity,False,False,False
StateView,getFeeGrowthInside,False,False,False
V4Quoter,quoteExactOutputSingle,False,False,False
Hooks,beforeDonate,False,False,False
V4Quoter,quoteExactOutput,False,False,False
StateView,getTickLiquidity,False,False,False
StateView,getPositionInfo,False,False,False
StateView,getTickInfo,False,False,False
Hooks,afterDonate,False,False,False
UniswapV4DeployerCompetition,deploy,False,False,False
StateView,getTickFeeGrowthOutside,False,False,False
Hooks,beforeInitialize,False,False,False
V4Quoter,quoteExactInput,False,False,False
V4Quoter,quoteExactInputSingle,False,False,False
StateView,getFeeGrowthGlobals,False,False,False
StateView,getSlot0,False,False,False
WETHHook,_deposit,False,False,True
PositionDescriptor,tokenURI,False,False,False
INotifier,subscriber,True,False,False
Notifier,onlyIfApproved,False,True,False
Notifier,onlyIfPoolManagerLocked,False,True,False
Hooks,noSelfCall,False,False,False
PositionManager,_clearOrTake,False,False,True
PositionManager,_burn,False,False,False
PositionManager,_pay,False,False,True
DeltaResolver,_take,False,False,True
PositionManager,_modifyLiquidity,False,False,False
NativeWrapper,_wrap,False,False,True
NativeWrapper,_unwrap,False,False,True
BaseV4Quoter,_swap,False,False,False
V4Router,_swap,False,False,False
Notifier,_unsubscribe,False,False,False
ERC20,permit,False,False,False
UniswapV4DeployerCompetition,updateBestAddress,False,False,False
BeforeSwapDeltaLibrary,getSpecifiedDelta,False,False,False
CurrencyReserves,syncCurrencyAndReserves,False,False,True
CalldataDecoder,decodeModifyLiquidityParams,False,False,False
StateLibrary,getPositionInfo,False,True,False
CalldataDecoder,decodeCurrencyAndAddress,False,False,True
CustomRevert,revertWith,False,False,False
BalanceDeltaLibrary,amount0,False,False,False
CalldataDecoder,decodeCurrencyAddressAndUint256,False,False,True
CalldataDecoder,decodeCurrencyPair,False,False,True
CalldataDecoder,decodeSwapExactOutSingleParams,False,False,False
CalldataDecoder,decodeCurrencyUint256AndBool,False,False,True
TransientStateLibrary,currencyDelta,False,True,True
CalldataDecoder,decodeActionsRouterParams,False,False,False
TickMath,getTickAtSqrtPrice,False,False,False
CurrencyReserves,getSyncedCurrency,False,False,True
Locker,get,False,False,False
CalldataDecoder,decodeIncreaseLiquidityFromDeltasParams,False,False,False
PositionInfoLibrary,tickUpper,False,False,False
Position,calculatePositionKey,False,False,False
ERC721PermitHash,hashPermitForAll,False,False,False
PositionInfoLibrary,setSubscribe,False,False,False
CalldataDecoder,decodeSwapExactInSingleParams,False,False,False
CurrencyLibrary,transfer,False,False,True
CalldataDecoder,decodeUint256,False,False,False
NonzeroDeltaCount,decrement,False,False,False
CalldataDecoder,decodeMintParams,False,False,False
Locker,set,False,False,False
BalanceDeltaLibrary,amount1,False,False,False
CalldataDecoder,decodeSwapExactInParams,False,False,False
StateLibrary,getFeeGrowthGlobals,False,True,False
Lock,unlock,False,False,False
CalldataDecoder,decodeMintFromDeltasParams,False,False,False
CalldataDecoder,decodeCurrency,False,False,True
StateLibrary,getTickInfo,False,True,False
ERC721PermitHash,hashPermit,False,False,False
CurrencyReserves,getSyncedReserves,False,False,True
PositionInfoLibrary,hasSubscriber,False,False,False
LiquidityMath,addDelta,False,False,False
EIP712_v4,_hashTypedData,False,False,False
NonzeroDeltaCount,read,False,False,False
StateLibrary,getTickLiquidity,False,True,False
CalldataDecoder,decodeSwapExactOutParams,False,False,False
CurrencyReserves,resetCurrency,False,False,True
PositionInfoLibrary,poolId,False,False,False
CalldataDecoder,decodeBurnParams,False,False,False
CalldataDecoder,decodeCurrencyAndUint256,False,False,True
StateLibrary,getTickFeeGrowthOutside,False,True,False
PositionInfoLibrary,initialize,False,False,False
BeforeSwapDeltaLibrary,getUnspecifiedDelta,False,False,False
Lock,lock,False,False,False
NonzeroDeltaCount,increment,False,False,False
CalldataDecoder,decodeCurrencyPairAndAddress,False,False,True
CalldataDecoder,toBytes,False,False,False
PositionInfoLibrary,setUnsubscribe,False,False,False
PositionInfoLibrary,tickLower,False,False,False
Lock,isUnlocked,False,False,False
StateLibrary,getSlot0,False,True,False
Notifier,_call,False,False,False
PoolIdLibrary,toId,False,False,False
QuoterRevert,parseQuoteAmount,False,False,False
SafeTransferLib,safeTransferETH,False,False,False
ParseBytes,parseSelector,False,False,False
FixedPointMathLib,unsafeDivUp,False,False,False
SafeTransferLib,safeTransfer,False,False,False
SafeTransferLib,safeApprove,False,False,False
Create2,computeAddress,False,False,False
PositionConfigLibrary,toId,False,False,False
SafeTransferLib,safeTransferFrom,False,False,False
FixedPointMathLib,mulDivUp,False,False,False
FixedPointMathLib,unsafeMod,False,False,False
FixedPointMathLib,unsafeDiv,False,False,False
QuoterRevert,bubbleReason,False,False,False
Strings,toString,False,False,False
PositionConfigIdLibrary,hasSubscriber,False,False,False
ParseBytes,parseFee,False,False,False
FixedPointMathLib,sqrt,False,False,False
Hooks,callHook,False,False,False
Create2,deploy,False,False,False
ParseBytes,parseReturnDelta,False,False,False
FixedPointMathLib,mulDivDown,False,False,False
DeltaResolver,_mapWrapUnwrapAmount,False,False,True
Notifier,_notifyModifyLiquidity,False,False,False
BaseHook,_beforeInitialize,False,False,False
ReentrancyLock,_getLocker,False,False,False
BaseHook,_beforeSwap,False,False,False
ERC721Permit_v4,_isApprovedOrOwner,False,False,False
BaseHook,_beforeAddLiquidity,False,False,False
Notifier,_removeSubscriberAndNotifyBurn,False,False,False
SafeCurrencyMetadata,callAndParseStringReturn,False,False,True
SafeCurrencyMetadata,currencyDecimals,False,False,True
BaseV4Quoter,_unlockCallback,False,False,False
EIP712_v4,DOMAIN_SEPARATOR,False,False,False
IEIP712_v4,DOMAIN_SEPARATOR,True,False,False
IEIP712,DOMAIN_SEPARATOR,False,False,False
V4Quoter,_quoteExactInputSingle,False,False,False
V4Quoter,_quoteExactOutput,False,False,False
V4Quoter,_quoteExactInput,False,False,False
ERC20,DOMAIN_SEPARATOR,False,False,False
V4Quoter,_quoteExactOutputSingle,False,False,False
PositionInfoLibrary,slitherConstructorConstantVariables,False,False,False
ActionConstants,slitherConstructorConstantVariables,False,False,False
FixedPoint96,slitherConstructorConstantVariables,False,False,False
FixedPoint128,slitherConstructorConstantVariables,False,False,False
LPFeeLibrary,slitherConstructorConstantVariables,False,False,False
PositionConfigIdLibrary,slitherConstructorConstantVariables,False,False,False
Descriptor,sigfigsRounded,False,False,False
BaseHook,getHookPermissions,False,False,True
Notifier,_setSubscribed,False,True,False
Notifier,_setUnsubscribed,False,True,False
ERC721,tokenURI,False,False,False
DeltaResolver,_pay,False,False,True
BaseActionsRouter,msgSender,False,False,True
